experiment	commit	metric	status	description
mdit_vram_probe	d509a3da6710763a9e71b07af5f43b876d58ea80		trained_pending_audit	VRAM probe bs10
rgb5_pdittoken_lastblock_a8_lr2e5_100	97302de8742fc504c926af8667d1a2e165155747		trained_pending_audit	rgb5 pdittoken last_block a8 100ep bs10
2026-04-14	rgb5_pdittoken_lastblock_a8_lr2e5_100	-	success@20=0.0	FAILED	obs3+a8+separate+AMP pdittoken path failed 100ep gate; mean_steps=198.75, planning_runtime_error=11, valid/loss_grip=0.953
rgb5_shared_lastblock_pdittoken_obs2_a16_lr2e5_100	97302de8742fc504c926af8667d1a2e165155747	-1.000000	train_error	resume rgb5 shared last_block pdittoken obs2 a16 100ep bs20: CUDA out of memory. Tried to allocate 462.00 MiB. GPU 0 has a total capacity of 23.40 GiB of which 158.38 MiB is free. Including non-PyTorch memory, this process has 23.16 GiB memory in use. Of the allocated memory 22.36 GiB is allocated by PyTorch, and 212.60 MiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)
rgb5_shared_lastblock_pdittoken_obs2_a16_lr2e5_100	36e847a31265798760bf22ed5ad5eaac7686c6c3		trained_pending_audit	rgb5 shared last_block pdittoken obs2 a16 100ep bs16
2026-04-14	rgb5_shared_lastblock_pdittoken_obs2_a16_lr2e5_100	-	success@20=0.2	FAILED	obs2+a16+shared pdittoken path failed 100ep gate; mean_steps=188.25, planning_runtime_error=6, valid/loss_grip=0.934, cpu_fallback=true
rgb5_shared_lastblock_pdittoken_obs2_a16_lr2e5_100	36e847a31265798760bf22ed5ad5eaac7686c6c3		trained_pending_audit	mainline semantic-aligned gate100
rgb5_shared_lastblock_pdittoken_obs2_a16_lr2e5_100	36e847a31265798760bf22ed5ad5eaac7686c6c3	0.000000	keep	mainline semantic-aligned gate100
2026-04-15	rgb5_shared_lastblock_pdittoken_obs2_a16_lr2e5_100	-	success@20=0.0	FAILED	mainline semantic-aligned gate100: obs2+a16+shared+pdittoken bs8, 100ep failed; mean_steps=80.0, planning_runtime_error dominant, no cpu_fallback
rgb5_lastblock_faithful_obs2_h100_a24_100	c76219d132a37520370b9e61cb0f244a458d29dc		trained_pending_audit	faithful mainline 100ep gate run bs16
2026-04-15	rgb5_lastblock_faithful_obs2_h100_a24_100	-	success@20=0.0	FAILED	faithful mainline 100ep gate run bs16; mean_steps=80.0, planning_runtime_error=16/20, no cpu_fallback, recipe_drift=true
pcd_mdit_ablation_100	ce4bb17811dc5a11b5cb1a4cb9c62d96a8bb0c54	-1.000000	train_error	ablation: PCD input + MDIT flat AdaLN transformer + MDIT FM beta 50steps: Faithful MDIT mainline training only supports RGB + text + MDIT raw weights. Disable legacy options before training: use_pcd=true.
pcd_mdit_ablation_100	ce4bb17811dc5a11b5cb1a4cb9c62d96a8bb0c54	-1.000000	train_error	ablation: PCD input + MDIT flat AdaLN transformer + MDIT FM beta 50steps: Faithful MDIT mainline training only supports RGB + text + MDIT raw weights. Disable legacy options before training: use_pcd=true.
pcd_mdit_ablation_100	ce4bb17811dc5a11b5cb1a4cb9c62d96a8bb0c54	-1.000000	train_error	ablation: PCD input + MDIT flat AdaLN transformer + MDIT FM beta 50steps: Faithful MDIT mainline training only supports RGB + text + MDIT raw weights. Disable legacy options before training: use_pcd=true.
rgb_text_pdit_ablation_100	02bc489a2807015d9f417606c153aea784645063	-1.000000	train_error	ablation: 5RGB+text + PDIT DiTTrajectory backbone + PDIT FM uniform+exp: Faithful MDIT mainline training only supports RGB + text + MDIT raw weights. Disable legacy options before training: transformer_variant='pdit'.
pcd_mdit_100	ce4bb17	-	BLOCKED	PCD+MDIT-transformer 100ep: validate_mainline_training() rejected use_pcd=true
